bc,nsub,dip,variant,ncol,nlay,status,rms_all_mm,rms_mid_mm,max_abs_mm,drop_mid_mm,drop_ana_mm,drop_ratio,kgeo
analytical,2,20.0,provost_std,42,6,ok,212.95118116990486,273.12130609570465,391.5858103672738,2041.5523648809315,2229.6311094377093,0.9156458017827848,"1.0,0.01,1.0"
analytical,2,25.0,provost_std,42,6,ok,218.14824657441451,279.1382159843755,399.80479438407366,1881.804618731279,2074.0193572292555,0.9073225918417841,"1.0,0.01,1.0"
analytical,2,30.0,provost_std,42,6,ok,201.2394656739618,256.67957263345596,367.1560417804436,1717.0056757635532,1893.7500000000002,0.906669663769533,"1.0,0.01,1.0"
analytical,2,35.0,provost_std,42,6,ok,160.8012037359018,204.11756033311812,291.4344848810364,1553.752213079214,1694.3004309486566,0.9170464604139018,"1.0,0.01,1.0"
analytical,2,40.0,provost_std,42,6,ok,94.89354293745868,119.47487098542253,170.0871781522535,1399.4653454405263,1481.7308243044995,0.9444801461138617,"1.0,0.01,1.0"
analytical,2,45.0,provost_std,42,6,ok,7.586116829241422e-06,1.0369062108101992e-05,1.636606805632823e-05,1262.500007082566,1262.5,1.0000000056099534,"1.0,0.01,1.0"
analytical,2,50.0,provost_std,42,6,ok,142.2374816185887,170.1318570931764,228.7108617566862,930.7928641343831,1043.2691756955005,0.8921885988952616,"1.0,0.01,1.0"
analytical,2,55.0,provost_std,42,6,ok,168.9697403238748,194.83943756899706,260.55720182145114,705.5261648750221,830.699569051343,0.8493156745954874,"1.0,0.01,1.0"
analytical,2,60.0,provost_std,42,6,ok,134.88451785165964,145.9469395175512,220.11353929443433,546.3744536247132,631.2500000000005,0.8655436889104361,"1.0,0.01,1.0"
analytical,2,0.0,provost_xt3d,42,6,ok,7.290208784525215e-07,8.829087452767057e-07,1.454617759577559e-06,2524.9999993972797,2524.9999999999995,0.9999999997612992,"1.0,0.01,1.0"
analytical,2,5.0,provost_xt3d,42,6,ok,7.582005113297165,7.841122317914834,11.39503620214044,2502.9235037829617,2505.8197881779124,0.9988441769002643,"1.0,0.01,1.0"
analytical,2,10.0,provost_xt3d,42,6,ok,13.493684154261528,13.896907991783547,20.383284850942207,2443.744940446713,2448.8619337422087,0.9979104606817599,"1.0,0.01,1.0"
analytical,2,15.0,provost_xt3d,42,6,ok,17.461074652087405,17.902829192266847,26.460449131166854,2349.1816359006516,2355.8570722778536,0.9971664510314507,"1.0,0.01,1.0"
analytical,2,20.0,provost_xt3d,42,6,ok,19.3347965116716,19.730599336646854,29.33395583179643,2222.073761416169,2229.6311094377093,0.996610494000756,"1.0,0.01,1.0"
